;average_qli;ALTERNATIVE0;FPM_DISTRIBUTION;siglas;gdp_index;unemployment;num_mun_na_acp;firms_profit;average_workers;inflation
69;0.7692;True;True;JUIZ FORA;10855.518;3.383;3;453.94199999999995;35.84;0.0062
70;0.764;False;True;JUIZ FORA;9545.449;3.338;3;-160.998;35.891999999999996;0.0034
71;0.7228;True;False;JUIZ FORA;11043.872;3.0780000000000003;3;377.175;36.099000000000004;0.0061
72;0.7779;True;True;JUNDIAI;16284.348;2.0869999999999997;6;745.628;58.21100000000001;0.0061
73;0.774;True;False;JUNDIAI;14974.481000000002;2.333;6;183.77900000000002;58.06;0.003
74;0.7796;False;False;JUNDIAI;14292.546999999999;2.1719999999999997;6;329.49199999999996;58.066;0.0016
75;0.7872;False;True;JUNDIAI;15350.858999999999;2.332;6;-86.79700000000004;58.205;0.0023
76;0.748;False;False;LONDRINA;13415.378;2.95;4;563.735;38.881;0.0037
77;0.7523;True;True;LONDRINA;16080.191;2.9810000000000003;4;912.3839999999999;38.781;0.0041
78;0.7458;False;True;LONDRINA;15418.008;2.975;4;-272.661;38.904;0.0077
79;0.7358;True;False;LONDRINA;15595.052;2.8989999999999996;4;106.62799999999999;38.996;0.0076
80;0.5912;True;True;MACAPA;6677.779;18.705;2;844.492;127.556;0.0
81;0.5933;False;False;MACAPA;5551.512;18.938;2;931.8810000000001;126.978;0.0
82;0.5918;False;True;MACAPA;5844.437;18.972;2;1360.4520000000002;127.0;0.0
83;0.5836;True;False;MACAPA;6459.325;19.649;2;789.02;126.156;0.0
84;0.5167;True;False;MACEIO;19972.551;7.237999999999999;5;903.6089999999999;84.67;0.0
85;0.5694;False;False;MACEIO;19267.598;7.2860000000000005;5;3357.74;84.506;0.0008
86;0.5781;True;True;MACEIO;19922.821;7.3870000000000005;5;1709.714;84.955;0.0
87;0.5723;False;True;MACEIO;21379.229;6.9;5;558.9540000000002;85.199;0.0
88;0.7242;True;True;MARINGA;9671.915;3.4389999999999996;6;106.616;34.694;0.0064
89;0.7344;False;True;MARINGA;10591.153;3.26;6;-52.568999999999996;34.753;0.006999999999999999
90;0.7255;False;False;MARINGA;10990.913999999999;3.3539999999999996;6;71.339;34.808;0.0045
91;0.6989;True;False;MARINGA;11827.587;3.113;6;1152.414;34.89;0.0086
92;0.6386;False;True;NATAL;27115.052000000003;4.059;7;-256.63;73.512;0.0006
93;0.6412;False;False;NATAL;26868.668999999998;4.065;7;841.669;73.5;0.0006
94;0.5994;True;False;NATAL;26661.011000000002;3.928;7;1170.162;73.844;0.0
95;0.6348;True;True;NATAL;27464.68;3.9339999999999997;7;636.835;73.566;0.0006
96;0.7103;True;True;N. HAMBURGO;18078.781000000006;2.54;12;1112.005;43.126999999999995;0.0026
